Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
2019-10-01,BTCUSD,8298.45,8531.25,8195.42,8319.01,10224.59,85718023.2
2019-10-02,BTCUSD,8319.01,8393.39,8170.91,8373.42,4952.53,40874459.88
2019-10-03,BTCUSD,8373.42,8419.23,8029.14,8239.92,8701.12,71397271.09
2019-10-04,BTCUSD,8239.92,8244.93,7986.65,8152.07,6278.78,51161374.46
2019-10-05,BTCUSD,8152.07,8195,8016.26,8145.17,4445.1,36017535.45
2019-10-06,BTCUSD,8145.17,8176.46,7772.71,7854.12,6454.54,51315707.4
2019-10-07,BTCUSD,7854.12,8313.7,7763.54,8205.53,9363.33,75585498.65
2019-10-08,BTCUSD,8205.53,8344.12,8109.74,8178.54,3577.72,29364663.64
2019-10-09,BTCUSD,8178.54,8707.8,8110,8586.34,11634.19,98328556.67
2019-10-10,BTCUSD,8586.34,8666.84,8450.61,8582.11,7435.43,63608562.98
2019-10-11,BTCUSD,8582.11,8820,8222.88,8265.55,7824.59,66027648.86
2019-10-12,BTCUSD,8265.55,8427.76,8254.68,8303.43,1828.83,15246382.98
2019-10-13,BTCUSD,8303.43,8474.48,8132.91,8282.96,4445.28,37082713.92
2019-10-14,BTCUSD,8282.96,8416.67,8215.41,8362.99,4294.61,35705415.19
2019-10-15,BTCUSD,8362.99,8420.85,8086,8155.13,5044.66,41647353.51
2019-10-16,BTCUSD,8155.13,8179.1,7912.66,7995.89,8644.4,69316753.57
2019-10-17,BTCUSD,7995.89,8130.71,7936.71,8073.32,5395.89,43466038.76
2019-10-18,BTCUSD,8073.32,8120.77,7811.62,7955.08,5611.09,44500999.58
2019-10-19,BTCUSD,7955.08,8096.76,7875,7960.49,3461.13,27557421.1
2019-10-20,BTCUSD,7960.49,8314.77,7874.68,8235.74,6358.92,51422182.22
2019-10-21,BTCUSD,8235.74,8352,8156,8213.65,4919.73,40461008.14
2019-10-22,BTCUSD,8213.65,8314.77,7989.15,8025.9,5678.93,46474242.56
2019-10-23,BTCUSD,8025.9,8052.04,7293.55,7470.77,13306.18,100801574.42
2019-10-24,BTCUSD,7470.77,7512,7356,7435,4997.42,37210305.43
2019-10-25,BTCUSD,7435,8784.29,7393.14,8662.66,19113.8,157079122.1
2019-10-26,BTCUSD,8662.66,10350,8642.46,9252.75,38751.8,364431123.25
2019-10-27,BTCUSD,9252.75,9819.92,9092.66,9557.08,17783.03,169009332.26
2019-10-28,BTCUSD,9557.08,9950,9177.84,9216.44,14722.02,139923976.28
2019-10-29,BTCUSD,9216.44,9573.35,9051.48,9426.94,9059.61,85007062.39
2019-10-30,BTCUSD,9426.94,9437.06,8985.25,9159.94,8814.44,80752701.08
2019-10-31,BTCUSD,9159.94,9438.61,8961.53,9150.07,10113.16,92792853.95